ideal_arrangement,year
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
both_work_full_time,1991
